H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817961820848208	 Radial Contact Force = 	-3.05882327226140438
H = 	0.40000000000000002	 Volume = 	0.24299999971362013	 Pressure = 	-2.70817981659885598	 Radial Contact Force = 	-3.05882378536099564
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817961820848208	 Radial Contact Force = 	-3.05882327226140438
H = 	0.40000000000000002	 Volume = 	0.24299999920450016	 Pressure = 	-2.70817961820848208	 Radial Contact Force = 	-3.05882327226140438
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817981659885598	 Radial Contact Force = 	-3.05882378536099564
H = 	0.40000000000000002	 Volume = 	0.24299999993814100	 Pressure = 	-2.70817987451161413	 Radial Contact Force = 	-3.05882392924091429
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817987451161413	 Radial Contact Force = 	-3.05882392924091429
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817987451161413	 Radial Contact Force = 	-3.05882392924091429
H = 	0.40000000000000002	 Volume = 	0.24299999993814100	 Pressure = 	-2.70817987451161413	 Radial Contact Force = 	-3.05882392924091429
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817987451161413	 Radial Contact Force = 	-3.05882392924091429
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817987451161413	 Radial Contact Force = 	-3.05882392924091429
H = 	0.40000000000000002	 Volume = 	0.24299999996832805	 Pressure = 	-2.70817987971008334	 Radial Contact Force = 	-3.05882394246335299
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817987971008334	 Radial Contact Force = 	-3.05882394246335299
H = 	0.40000000000000002	 Volume = 	0.24299999999888622	 Pressure = 	-2.70817988689406075	 Radial Contact Force = 	-3.05882396040652038
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817988689406075	 Radial Contact Force = 	-3.05882396040652038
H = 	0.40000000000000002	 Volume = 	0.24299999999888616	 Pressure = 	-2.70817988689406075	 Radial Contact Force = 	-3.05882396040652038
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817988689406075	 Radial Contact Force = 	-3.05882396040652038
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817988689406075	 Radial Contact Force = 	-3.05882396040652038
H = 	0.40000000000000002	 Volume = 	0.00000000000000000	 Pressure = 	-2.70817988689406075	 Radial Contact Force = 	-3.05882396040652038
H = 	0.40000000000000002	 Volume = 	0.24299999999888616	 Pressure = 	-2.70817988689406075	 Radial Contact Force = 	-3.05882396040652038
