H = 	0.61	 Volume = 	0.485667	 Pressure = 	-1.57565
H = 	0.6	 Volume = 	0.485667	 Pressure = 	-1.62147
H = 	0.59	 Volume = 	0.485667	 Pressure = 	-1.67119
H = 	0.59	 Volume = 	0.485667	 Pressure = 	-1.67119
H = 	0.58	 Volume = 	0.485667	 Pressure = 	-1.723
H = 	0.57	 Volume = 	0.485667	 Pressure = 	-1.77988
H = 	0.57	 Volume = 	0.485667	 Pressure = 	-1.77988
H = 	0.56	 Volume = 	0.485667	 Pressure = 	-1.83935
H = 	0.5575	 Volume = 	0.485667	 Pressure = 	-1.85477
H = 	0.55625	 Volume = 	0.485667	 Pressure = 	-1.86306
H = 	0.555	 Volume = 	0.485667	 Pressure = 	-1.87136
H = 	0.554375	 Volume = 	0.485667	 Pressure = 	-1.87551
H = 	0.55375	 Volume = 	0.485667	 Pressure = 	-1.87967
H = 	0.553125	 Volume = 	0.485667	 Pressure = 	-1.88383
H = 	0.5525	 Volume = 	0.485667	 Pressure = 	-1.88799
H = 	0.551875	 Volume = 	0.485667	 Pressure = 	-1.89216
H = 	0.55125	 Volume = 	0.485667	 Pressure = 	-1.89632
H = 	0.550625	 Volume = 	0.485667	 Pressure = 	-1.9005
H = 	0.55	 Volume = 	0.485667	 Pressure = 	-1.90467
H = 	0.55	 Volume = 	0.485667	 Pressure = 	-1.90467
H = 	0.545	 Volume = 	0.485667	 Pressure = 	-1.93843
H = 	0.54375	 Volume = 	0.485667	 Pressure = 	-1.9472
H = 	0.5425	 Volume = 	0.485667	 Pressure = 	-1.95599
H = 	0.54125	 Volume = 	0.485667	 Pressure = 	-1.9648
H = 	0.54	 Volume = 	0.485667	 Pressure = 	-1.97361
H = 	0.53875	 Volume = 	0.485667	 Pressure = 	-1.98244
H = 	0.5375	 Volume = 	0.485667	 Pressure = 	-1.99129
H = 	0.53625	 Volume = 	0.485667	 Pressure = 	-2.00058
H = 	0.535	 Volume = 	0.485667	 Pressure = 	-2.01033
H = 	0.53375	 Volume = 	0.485667	 Pressure = 	-2.02008
H = 	0.5325	 Volume = 	0.485667	 Pressure = 	-2.02986
H = 	0.53125	 Volume = 	0.485667	 Pressure = 	-2.03965
H = 	0.53	 Volume = 	0.485667	 Pressure = 	-2.04946
H = 	0.53	 Volume = 	0.485667	 Pressure = 	-2.04946
H = 	0.525	 Volume = 	0.485667	 Pressure = 	-2.08888
H = 	0.5225	 Volume = 	0.485667	 Pressure = 	-2.10953
H = 	0.52	 Volume = 	0.485667	 Pressure = 	-2.13033
H = 	0.5175	 Volume = 	0.485667	 Pressure = 	-2.15122
H = 	0.515	 Volume = 	0.485667	 Pressure = 	-2.173
H = 	0.5125	 Volume = 	0.485667	 Pressure = 	-2.19624
H = 	0.51125	 Volume = 	0.485667	 Pressure = 	-2.2079
H = 	0.51	 Volume = 	0.485667	 Pressure = 	-2.21958
H = 	0.51	 Volume = 	0.485667	 Pressure = 	-2.21958
H = 	0.5075	 Volume = 	0.485667	 Pressure = 	-2.24301
H = 	0.505	 Volume = 	0.485667	 Pressure = 	-2.26655
H = 	0.5025	 Volume = 	0.485667	 Pressure = 	-2.29087
H = 	0.5	 Volume = 	0.485667	 Pressure = 	-2.31577
H = 	0.499375	 Volume = 	0.485667	 Pressure = 	-2.32202
H = 	0.49875	 Volume = 	0.485667	 Pressure = 	-2.32827
H = 	0.498125	 Volume = 	0.485667	 Pressure = 	-2.33453
H = 	0.497812	 Volume = 	0.485667	 Pressure = 	-2.33766
H = 	0.4975	 Volume = 	0.485667	 Pressure = 	-2.3408
H = 	0.497187	 Volume = 	0.485667	 Pressure = 	-2.34393
H = 	0.496875	 Volume = 	0.485667	 Pressure = 	-2.34707
H = 	0.496562	 Volume = 	0.485667	 Pressure = 	-2.35021
H = 	0.49625	 Volume = 	0.485667	 Pressure = 	-2.35336
H = 	0.495937	 Volume = 	0.485667	 Pressure = 	-2.3565
H = 	0.495625	 Volume = 	0.485667	 Pressure = 	-2.35965
H = 	0.495312	 Volume = 	0.485667	 Pressure = 	-2.3628
H = 	0.495	 Volume = 	0.485667	 Pressure = 	-2.36614
H = 	0.494687	 Volume = 	0.485667	 Pressure = 	-2.36964
H = 	0.494375	 Volume = 	0.485667	 Pressure = 	-2.37315
H = 	0.494062	 Volume = 	0.485667	 Pressure = 	-2.37665
H = 	0.49375	 Volume = 	0.485667	 Pressure = 	-2.38016
H = 	0.493437	 Volume = 	0.485667	 Pressure = 	-2.38367
H = 	0.493125	 Volume = 	0.485667	 Pressure = 	-2.38719
H = 	0.492812	 Volume = 	0.485667	 Pressure = 	-2.3907
H = 	0.4925	 Volume = 	0.485667	 Pressure = 	-2.39422
H = 	0.492187	 Volume = 	0.485667	 Pressure = 	-2.39774
H = 	0.491875	 Volume = 	0.485667	 Pressure = 	-2.40126
H = 	0.491562	 Volume = 	0.485667	 Pressure = 	-2.40478
H = 	0.49125	 Volume = 	0.485667	 Pressure = 	-2.40831
H = 	0.490937	 Volume = 	0.485667	 Pressure = 	-2.41184
H = 	0.490625	 Volume = 	0.485667	 Pressure = 	-2.41537
H = 	0.490312	 Volume = 	0.485667	 Pressure = 	-2.4189
H = 	0.49	 Volume = 	0.485667	 Pressure = 	-2.42244
H = 	0.49	 Volume = 	0.485667	 Pressure = 	-2.42244
H = 	0.485	 Volume = 	0.485667	 Pressure = 	-2.47932
H = 	0.48	 Volume = 	0.485667	 Pressure = 	-2.53879
H = 	0.47875	 Volume = 	0.485667	 Pressure = 	-2.55402
H = 	0.4775	 Volume = 	0.485667	 Pressure = 	-2.56928
H = 	0.47625	 Volume = 	0.485667	 Pressure = 	-2.5846
H = 	0.475	 Volume = 	0.485667	 Pressure = 	-2.59996
H = 	0.47375	 Volume = 	0.485667	 Pressure = 	-2.61666
H = 	0.4725	 Volume = 	0.485667	 Pressure = 	-2.63396
H = 	0.47125	 Volume = 	0.485667	 Pressure = 	-2.65132
H = 	0.47	 Volume = 	0.485667	 Pressure = 	-2.66872
H = 	0.47	 Volume = 	0.485667	 Pressure = 	-2.66872
H = 	0.4675	 Volume = 	0.485667	 Pressure = 	-2.7037
H = 	0.466875	 Volume = 	0.485667	 Pressure = 	-2.71248
H = 	0.46625	 Volume = 	0.485667	 Pressure = 	-2.72128
H = 	0.465937	 Volume = 	0.485667	 Pressure = 	-2.72568
H = 	0.465625	 Volume = 	0.485667	 Pressure = 	-2.73009
H = 	0.465312	 Volume = 	0.485667	 Pressure = 	-2.7345
H = 	0.465	 Volume = 	0.485667	 Pressure = 	-2.73891
H = 	0.464687	 Volume = 	0.485667	 Pressure = 	-2.74333
H = 	0.464531	 Volume = 	0.485667	 Pressure = 	-2.74554
