H = 	0.56	 Volume = 	0.243	 Pressure = 	-1.05366	 Normal Contact Force = 	-0.384156
H = 	0.56	 Volume = 	0.243	 Pressure = 	-1.05366	 Normal Contact Force = 	-0.384156
H = 	0.55	 Volume = 	0.243	 Pressure = 	-1.11221	 Normal Contact Force = 	-0.428642
H = 	0.54	 Volume = 	0.243	 Pressure = 	-1.17302	 Normal Contact Force = 	-0.478107
H = 	0.54	 Volume = 	0.243	 Pressure = 	-1.17302	 Normal Contact Force = 	-0.478107
H = 	0.53	 Volume = 	0.243	 Pressure = 	-1.2377	 Normal Contact Force = 	-0.534863
H = 	0.52	 Volume = 	0.243	 Pressure = 	-1.30493	 Normal Contact Force = 	-0.598018
H = 	0.52	 Volume = 	0.243	 Pressure = 	-1.30493	 Normal Contact Force = 	-0.598018
H = 	0.51	 Volume = 	0.243	 Pressure = 	-1.37707	 Normal Contact Force = 	-0.671201
H = 	0.5	 Volume = 	0.243	 Pressure = 	-1.45339	 Normal Contact Force = 	-0.754474
H = 	0.5	 Volume = 	0.243	 Pressure = 	-1.45339	 Normal Contact Force = 	-0.754474
H = 	0.495	 Volume = 	0.243	 Pressure = 	-1.49323	 Normal Contact Force = 	-0.800366
H = 	0.49	 Volume = 	0.243	 Pressure = 	-1.53429	 Normal Contact Force = 	-0.849421
H = 	0.485	 Volume = 	0.243	 Pressure = 	-1.57701	 Normal Contact Force = 	-0.902471
H = 	0.48	 Volume = 	0.243	 Pressure = 	-1.62177	 Normal Contact Force = 	-0.960277
H = 	0.48	 Volume = 	0.243	 Pressure = 	-1.62177	 Normal Contact Force = 	-0.960277
H = 	0.47	 Volume = 	0.243	 Pressure = 	-1.71444	 Normal Contact Force = 	-1.08666
H = 	0.46	 Volume = 	0.243	 Pressure = 	-1.81688	 Normal Contact Force = 	-1.23787
H = 	0.46	 Volume = 	0.243	 Pressure = 	-1.81688	 Normal Contact Force = 	-1.23787
H = 	0.45	 Volume = 	0.243	 Pressure = 	-1.92821	 Normal Contact Force = 	-1.4156
H = 	0.44	 Volume = 	0.243	 Pressure = 	-2.04946	 Normal Contact Force = 	-1.62508
H = 	0.44	 Volume = 	0.243	 Pressure = 	-2.04946	 Normal Contact Force = 	-1.62508
H = 	0.43	 Volume = 	0.243	 Pressure = 	-2.18595	 Normal Contact Force = 	-1.88119
H = 	0.42	 Volume = 	0.243	 Pressure = 	-2.33703	 Normal Contact Force = 	-2.18963
H = 	0.42	 Volume = 	0.243	 Pressure = 	-2.33703	 Normal Contact Force = 	-2.18963
H = 	0.41	 Volume = 	0.243	 Pressure = 	-2.51015	 Normal Contact Force = 	-2.57532
H = 	0.4	 Volume = 	0.243	 Pressure = 	-2.70972	 Normal Contact Force = 	-3.0626
H = 	0.4	 Volume = 	0.243	 Pressure = 	-2.70972	 Normal Contact Force = 	-3.0626
H = 	0.3975	 Volume = 	0.243	 Pressure = 	-2.76334	 Normal Contact Force = 	-3.20141
H = 	0.395	 Volume = 	0.243	 Pressure = 	-2.8197	 Normal Contact Force = 	-3.35088
