H = 	0.56	 Volume = 	0.243	 Pressure = 	-0.0964993	 Normal Contact Force = 	-0.0335591
H = 	0.56	 Volume = 	0.243	 Pressure = 	-0.0964993	 Normal Contact Force = 	-0.0335591
H = 	0.55	 Volume = 	0.243	 Pressure = 	-0.102725	 Normal Contact Force = 	-0.0377047
H = 	0.5475	 Volume = 	0.243	 Pressure = 	-0.104373	 Normal Contact Force = 	-0.0388447
H = 	0.54625	 Volume = 	0.243	 Pressure = 	-0.105227	 Normal Contact Force = 	-0.0394324
H = 	0.545	 Volume = 	0.243	 Pressure = 	-0.106104	 Normal Contact Force = 	-0.040033
H = 	0.54375	 Volume = 	0.243	 Pressure = 	-0.106985	 Normal Contact Force = 	-0.040639
H = 	0.5425	 Volume = 	0.243	 Pressure = 	-0.107878	 Normal Contact Force = 	-0.0412599
H = 	0.54125	 Volume = 	0.243	 Pressure = 	-0.10879	 Normal Contact Force = 	-0.0419003
H = 	0.54	 Volume = 	0.243	 Pressure = 	-0.109705	 Normal Contact Force = 	-0.0425466
H = 	0.54	 Volume = 	0.243	 Pressure = 	-0.109705	 Normal Contact Force = 	-0.0425466
H = 	0.535	 Volume = 	0.243	 Pressure = 	-0.113412	 Normal Contact Force = 	-0.0452007
H = 	0.53	 Volume = 	0.243	 Pressure = 	-0.117382	 Normal Contact Force = 	-0.0481662
H = 	0.5275	 Volume = 	0.243	 Pressure = 	-0.11938	 Normal Contact Force = 	-0.049681
H = 	0.525	 Volume = 	0.243	 Pressure = 	-0.121385	 Normal Contact Force = 	-0.0512078
H = 	0.5225	 Volume = 	0.243	 Pressure = 	-0.123483	 Normal Contact Force = 	-0.0528284
H = 	0.52	 Volume = 	0.243	 Pressure = 	-0.125642	 Normal Contact Force = 	-0.0545076
H = 	0.52	 Volume = 	0.243	 Pressure = 	-0.125642	 Normal Contact Force = 	-0.0545076
H = 	0.515	 Volume = 	0.243	 Pressure = 	-0.130247	 Normal Contact Force = 	-0.0581609
H = 	0.51	 Volume = 	0.243	 Pressure = 	-0.1352	 Normal Contact Force = 	-0.0622113
H = 	0.5075	 Volume = 	0.243	 Pressure = 	-0.137741	 Normal Contact Force = 	-0.06432
H = 	0.505	 Volume = 	0.243	 Pressure = 	-0.140408	 Normal Contact Force = 	-0.0665756
H = 	0.5025	 Volume = 	0.243	 Pressure = 	-0.14314	 Normal Contact Force = 	-0.0689034
H = 	0.50125	 Volume = 	0.243	 Pressure = 	-0.144534	 Normal Contact Force = 	-0.0700965
H = 	0.5	 Volume = 	0.243	 Pressure = 	-0.145949	 Normal Contact Force = 	-0.0713104
H = 	0.5	 Volume = 	0.243	 Pressure = 	-0.145949	 Normal Contact Force = 	-0.0713104
H = 	0.495	 Volume = 	0.243	 Pressure = 	-0.152188	 Normal Contact Force = 	-0.076791
H = 	0.4925	 Volume = 	0.243	 Pressure = 	-0.155513	 Normal Contact Force = 	-0.0797272
H = 	0.491875	 Volume = 	0.243	 Pressure = 	-0.156369	 Normal Contact Force = 	-0.0804935
H = 	0.491719	 Volume = 	0.243	 Pressure = 	-0.156584	 Normal Contact Force = 	-0.0806858
H = 	0.491641	 Volume = 	0.243	 Pressure = 	-0.156691	 Normal Contact Force = 	-0.0807819
H = 	0.491602	 Volume = 	0.243	 Pressure = 	-0.156745	 Normal Contact Force = 	-0.0808298
