ZONE I=5, J=5
0 0.449394 0.529225 0.449394 0 0.9 0 
0 0.464958 0.467505 0.464958 0 0.925 0 
0 0.481081 0.405786 0.481081 0 0.95 0 
0 0.497761 0.344066 0.497761 0 0.975 0 
0 0.515 0.282346 0.515 0 1 0 
0.01159 0.449922 0.528566 0.450002 0.00790876 0.9 0.00818126 
0.00998067 0.465288 0.466847 0.465354 0.00617374 0.925 0.00818126 
0.00913324 0.481256 0.405127 0.481315 0.00519569 0.95 0.00818126 
0.00904775 0.497828 0.343407 0.497886 0.00497462 0.975 0.00818126 
0.00972419 0.515003 0.281687 0.515066 0.00551053 1 0.00818126 
0.0214013 0.450179 0.527908 0.450469 0.0140327 0.9 0.0163625 
0.0196925 0.465465 0.466188 0.465724 0.0120741 0.925 0.0163625 
0.018754 0.481363 0.404468 0.481606 0.0108755 0.95 0.0163625 
0.0185857 0.497875 0.342748 0.498112 0.0104371 0.975 0.0163625 
0.0191876 0.515 0.281029 0.515245 0.0107587 1 0.0163625 
0.0294294 0.45021 0.527249 0.450797 0.0183718 0.9 0.0245437 
0.0291336 0.465496 0.465529 0.466071 0.017701 0.925 0.0245437 
0.0288621 0.481389 0.403809 0.481952 0.0170395 0.95 0.0245437 
0.0286148 0.497889 0.34209 0.498442 0.0163874 0.975 0.0245437 
0.0283917 0.514997 0.28037 0.515538 0.0157445 1 0.0245437 
0.0356707 0.450058 0.52659 0.450984 0.0209262 0.9 0.0327249 
0.0383021 0.465388 0.46487 0.466392 0.0230546 0.925 0.0327249 
0.0394572 0.481322 0.403151 0.482355 0.0236877 0.95 0.0327249 
0.0391359 0.497859 0.341431 0.498873 0.0228255 0.975 0.0327249 
0.0373383 0.515 0.279711 0.515946 0.020468 1 0.0327249 

ZONE I=5, J=5
0.0356707 0.450058 0.571957 0.450984 0.0209262 0.9 0.0327249 
0.0383021 0.465388 0.494871 0.466392 0.0230546 0.925 0.0327249 
0.0394572 0.481322 0.417786 0.482355 0.0236877 0.95 0.0327249 
0.0391359 0.497859 0.3407 0.498873 0.0228255 0.975 0.0327249 
0.0373383 0.515 0.263614 0.515946 0.020468 1 0.0327249 
0.0491899 0.450444 0.570903 0.452079 0.030728 0.9 0.0409062 
0.0485047 0.46557 0.493817 0.467164 0.0294248 0.925 0.0409062 
0.0480476 0.481372 0.416732 0.482934 0.0283218 0.95 0.0409062 
0.0478187 0.497851 0.339646 0.49939 0.0274192 0.975 0.0409062 
0.0478179 0.515006 0.26256 0.516531 0.0267169 1 0.0409062 
0.059984 0.450579 0.569849 0.45298 0.0378029 0.9 0.0490874 
0.058299 0.465643 0.492763 0.467943 0.0353807 0.925 0.0490874 
0.0573713 0.481402 0.415678 0.483637 0.0336809 0.95 0.0490874 
0.0572009 0.497854 0.338592 0.500061 0.0327034 0.975 0.0490874 
0.0577878 0.515 0.261506 0.517215 0.0324484 1 0.0490874 
0.0680495 0.450531 0.568795 0.453687 0.0421507 0.9 0.0572686 
0.0676841 0.465619 0.491709 0.46873 0.0409223 0.925 0.0572686 
0.0674289 0.481392 0.414623 0.484463 0.0397648 0.95 0.0572686 
0.0672841 0.497851 0.337538 0.500886 0.0386782 0.975 0.0572686 
0.0672496 0.514994 0.260452 0.517999 0.0376625 1 0.0572686 
0.0733841 0.450366 0.567741 0.454201 0.0437717 0.9 0.0654498 
0.0766594 0.465507 0.490655 0.469524 0.0460496 0.925 0.0654498 
0.0782213 0.481326 0.413569 0.485412 0.0465736 0.95 0.0654498 
0.0780698 0.497824 0.336484 0.501864 0.0453434 0.975 0.0654498 
0.0762049 0.515 0.259398 0.518881 0.0423592 1 0.0654498 

ZONE I=5, J=5
0.0733841 0.450366 0.610623 0.454201 0.0437717 0.9 0.0654498 
0.0766594 0.465507 0.520756 0.469524 0.0460496 0.925 0.0654498 
0.0782213 0.481326 0.430888 0.485412 0.0465736 0.95 0.0654498 
0.0780698 0.497824 0.341021 0.501864 0.0453434 0.975 0.0654498 
0.0762049 0.515 0.251154 0.518881 0.0423592 1 0.0654498 
0.0876908 0.450791 0.608821 0.45602 0.0542909 0.9 0.0736311 
0.0870816 0.465695 0.518953 0.470839 0.052587 0.925 0.073631 
0.0866917 0.481365 0.429086 0.486438 0.0510455 0.95 0.0736311 
0.0865213 0.497802 0.339219 0.502818 0.0496663 0.975 0.0736311 
0.0865703 0.515005 0.249352 0.519978 0.0484496 1 0.0736311 
0.09881 0.450923 0.607018 0.45749 0.0616296 0.9 0.0818123 
0.0969697 0.465765 0.517151 0.472132 0.0585825 0.925 0.0818123 
0.0959717 0.481392 0.427284 0.487625 0.0563108 0.95 0.0818123 
0.095816 0.497804 0.337417 0.503969 0.0548145 0.975 0.0818123 
0.0965027 0.515 0.247549 0.521164 0.0540935 1 0.0818123 
0.106738 0.45084 0.605216 0.458609 0.0657878 0.9 0.0899936 
0.106323 0.465733 0.515349 0.473403 0.0640363 0.925 0.0899936 
0.106062 0.481389 0.425481 0.488973 0.0623696 0.95 0.0899936 
0.105956 0.49781 0.335614 0.505318 0.0607879 0.975 0.0899935 
0.106004 0.514995 0.245747 0.522437 0.0592909 1 0.0899936 
0.111471 0.450622 0.603413 0.459378 0.0667653 0.9 0.0981748 
0.11514 0.465609 0.513546 0.474653 0.0689482 0.925 0.0981748 
0.116964 0.481335 0.423679 0.490482 0.0692219 0.95 0.0981748 
0.116942 0.497798 0.333812 0.506864 0.0675865 0.975 0.0981748 
0.115075 0.515 0.243945 0.523799 0.0640418 1 0.0981748 

ZONE I=5, J=5
