H = 	1.14999999999999991	 Volume = 	0.20470833333233290	 Pressure = 	0.00000000000000000	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.21480866666667500	 Pressure = 	-0.28406047995616468	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.22511099999999792	 Pressure = 	-0.53739824023767480	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.23561733333333040	 Pressure = 	-0.76563075132821545	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.24632966666667033	 Pressure = 	-0.97333686821802312	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.25725000000000126	 Pressure = 	-1.16430163812768450	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.27972266666702855	 Pressure = 	-1.50819441287830736	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.32725200005946792	 Pressure = 	-2.10672245839760963	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.37833333336971459	 Pressure = 	-2.66875419326275320	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.37833333336971459	 Pressure = 	-2.66875419326275320	 Radial Contact Force = 	0.00000000000000000
H = 	1.13999999999999990	 Volume = 	0.37833333333328123	 Pressure = 	-2.67782349842922773	 Radial Contact Force = 	-0.00579712058404296
H = 	1.13999999999999990	 Volume = 	0.37833333333328123	 Pressure = 	-2.67782349842922773	 Radial Contact Force = 	-0.00579712058404296
H = 	1.12999999999999989	 Volume = 	0.37833333333327912	 Pressure = 	-2.69129437691890683	 Radial Contact Force = 	-0.01423272246900699
H = 	1.12999999999999989	 Volume = 	0.37833333333327912	 Pressure = 	-2.69129437691890683	 Radial Contact Force = 	-0.01423272246900699
H = 	1.11999999999999988	 Volume = 	0.37833333333326474	 Pressure = 	-2.70589456617949775	 Radial Contact Force = 	-0.02312912972066227
H = 	1.11999999999999988	 Volume = 	0.37833333333326474	 Pressure = 	-2.70589456617949775	 Radial Contact Force = 	-0.02312912972066227
H = 	1.10999999999999988	 Volume = 	0.37833333333314395	 Pressure = 	-2.72327257181281635	 Radial Contact Force = 	-0.03354944695961286
H = 	1.10999999999999988	 Volume = 	0.37833333333314395	 Pressure = 	-2.72327257181281635	 Radial Contact Force = 	-0.03354944695961286
H = 	1.09999999999999987	 Volume = 	0.37833333333326158	 Pressure = 	-2.74178295958385831	 Radial Contact Force = 	-0.04436762221396178
H = 	1.09999999999999987	 Volume = 	0.37833333333326158	 Pressure = 	-2.74178295958385831	 Radial Contact Force = 	-0.04436762221396178
H = 	1.08999999999999986	 Volume = 	0.37833333333318614	 Pressure = 	-2.76178899296773794	 Radial Contact Force = 	-0.05581112809712333
H = 	1.08999999999999986	 Volume = 	0.37833333333318614	 Pressure = 	-2.76178899296773794	 Radial Contact Force = 	-0.05581112809712333
H = 	1.07999999999999985	 Volume = 	0.37833333333326541	 Pressure = 	-2.78477199288691191	 Radial Contact Force = 	-0.06884141525409213
H = 	1.07999999999999985	 Volume = 	0.37833333333326541	 Pressure = 	-2.78477199288691191	 Radial Contact Force = 	-0.06884141525409213
H = 	1.06999999999999984	 Volume = 	0.37833333333324137	 Pressure = 	-2.80871701171083554	 Radial Contact Force = 	-0.08207940110675654
H = 	1.06999999999999984	 Volume = 	0.37833333333324137	 Pressure = 	-2.80871701171083554	 Radial Contact Force = 	-0.08207940110675654
H = 	1.05999999999999983	 Volume = 	0.37833333333314423	 Pressure = 	-2.83436359702061802	 Radial Contact Force = 	-0.09601246347930556
H = 	1.05999999999999983	 Volume = 	0.37833333333314423	 Pressure = 	-2.83436359702061802	 Radial Contact Force = 	-0.09601246347930556
H = 	1.04999999999999982	 Volume = 	0.37833333333314395	 Pressure = 	-2.86333848174431482	 Radial Contact Force = 	-0.11172197865122367
H = 	1.04999999999999982	 Volume = 	0.37833333333314395	 Pressure = 	-2.86333848174431482	 Radial Contact Force = 	-0.11172197865122367
H = 	1.03999999999999981	 Volume = 	0.37833333333321717	 Pressure = 	-2.89337285486703433	 Radial Contact Force = 	-0.12762233284567934
H = 	1.03999999999999981	 Volume = 	0.37833333333321717	 Pressure = 	-2.89337285486703433	 Radial Contact Force = 	-0.12762233284567934
H = 	1.02999999999999980	 Volume = 	0.37833333333319025	 Pressure = 	-2.92495635998447101	 Radial Contact Force = 	-0.14403278516333373
H = 	1.02999999999999980	 Volume = 	0.37833333333319025	 Pressure = 	-2.92495635998447101	 Radial Contact Force = 	-0.14403278516333373
H = 	1.01999999999999980	 Volume = 	0.37833333333293545	 Pressure = 	-2.96102078871274177	 Radial Contact Force = 	-0.16299882254655934
H = 	1.01999999999999980	 Volume = 	0.37833333333293545	 Pressure = 	-2.96102078871274177	 Radial Contact Force = 	-0.16299882254655934
H = 	1.00999999999999979	 Volume = 	0.37833333333331404	 Pressure = 	-2.99802805809702022	 Radial Contact Force = 	-0.18197078957276594
H = 	1.00999999999999979	 Volume = 	0.37833333333331404	 Pressure = 	-2.99802805809702022	 Radial Contact Force = 	-0.18197078957276594
H = 	0.99999999999999978	 Volume = 	0.37833333333319702	 Pressure = 	-3.03735786560658472	 Radial Contact Force = 	-0.20191955067893208
H = 	0.99999999999999978	 Volume = 	0.37833333333319702	 Pressure = 	-3.03735786560658472	 Radial Contact Force = 	-0.20191955067893208
