H = 	0.396035	 Volume = 	0.243	 Pressure = 	-2.79585	 Normal Contact Force = 	-3.28722
H = 	0.396016	 Volume = 	0.243	 Pressure = 	-2.7963	 Normal Contact Force = 	-3.28841
H = 	0.395996	 Volume = 	0.243	 Pressure = 	-2.79675	 Normal Contact Force = 	-3.2896
H = 	0.395977	 Volume = 	0.243	 Pressure = 	-2.7972	 Normal Contact Force = 	-3.2908
H = 	0.395957	 Volume = 	0.243	 Pressure = 	-2.79765	 Normal Contact Force = 	-3.29199
H = 	0.395938	 Volume = 	0.243	 Pressure = 	-2.7981	 Normal Contact Force = 	-3.29318
H = 	0.395918	 Volume = 	0.243	 Pressure = 	-2.79855	 Normal Contact Force = 	-3.29438
H = 	0.395898	 Volume = 	0.243	 Pressure = 	-2.799	 Normal Contact Force = 	-3.29557
H = 	0.395879	 Volume = 	0.243	 Pressure = 	-2.79945	 Normal Contact Force = 	-3.29677
H = 	0.395859	 Volume = 	0.243	 Pressure = 	-2.79989	 Normal Contact Force = 	-3.29796
H = 	0.39584	 Volume = 	0.243	 Pressure = 	-2.80034	 Normal Contact Force = 	-3.29916
H = 	0.39582	 Volume = 	0.243	 Pressure = 	-2.80079	 Normal Contact Force = 	-3.30035
H = 	0.395801	 Volume = 	0.243	 Pressure = 	-2.80124	 Normal Contact Force = 	-3.30155
H = 	0.395781	 Volume = 	0.243	 Pressure = 	-2.80169	 Normal Contact Force = 	-3.30274
H = 	0.395762	 Volume = 	0.243	 Pressure = 	-2.80214	 Normal Contact Force = 	-3.30394
H = 	0.395742	 Volume = 	0.243	 Pressure = 	-2.80259	 Normal Contact Force = 	-3.30514
H = 	0.395723	 Volume = 	0.243	 Pressure = 	-2.80304	 Normal Contact Force = 	-3.30634
H = 	0.395703	 Volume = 	0.243	 Pressure = 	-2.80349	 Normal Contact Force = 	-3.30753
H = 	0.395684	 Volume = 	0.243	 Pressure = 	-2.80394	 Normal Contact Force = 	-3.30873
H = 	0.395664	 Volume = 	0.243	 Pressure = 	-2.80439	 Normal Contact Force = 	-3.30993
H = 	0.395645	 Volume = 	0.243	 Pressure = 	-2.80484	 Normal Contact Force = 	-3.31113
H = 	0.395625	 Volume = 	0.243	 Pressure = 	-2.80529	 Normal Contact Force = 	-3.31233
H = 	0.395605	 Volume = 	0.243	 Pressure = 	-2.80574	 Normal Contact Force = 	-3.31353
H = 	0.395586	 Volume = 	0.243	 Pressure = 	-2.80619	 Normal Contact Force = 	-3.31473
H = 	0.395566	 Volume = 	0.243	 Pressure = 	-2.80664	 Normal Contact Force = 	-3.31593
H = 	0.395547	 Volume = 	0.243	 Pressure = 	-2.80709	 Normal Contact Force = 	-3.31713
H = 	0.395527	 Volume = 	0.243	 Pressure = 	-2.80754	 Normal Contact Force = 	-3.31833
H = 	0.395508	 Volume = 	0.243	 Pressure = 	-2.80799	 Normal Contact Force = 	-3.31953
H = 	0.395488	 Volume = 	0.243	 Pressure = 	-2.80844	 Normal Contact Force = 	-3.32073
H = 	0.395469	 Volume = 	0.243	 Pressure = 	-2.80889	 Normal Contact Force = 	-3.32193
H = 	0.395449	 Volume = 	0.243	 Pressure = 	-2.80934	 Normal Contact Force = 	-3.32313
H = 	0.39543	 Volume = 	0.243	 Pressure = 	-2.80979	 Normal Contact Force = 	-3.32434
H = 	0.39541	 Volume = 	0.243	 Pressure = 	-2.81024	 Normal Contact Force = 	-3.32554
H = 	0.395391	 Volume = 	0.243	 Pressure = 	-2.81069	 Normal Contact Force = 	-3.32674
H = 	0.395371	 Volume = 	0.243	 Pressure = 	-2.81114	 Normal Contact Force = 	-3.32794
H = 	0.395352	 Volume = 	0.243	 Pressure = 	-2.81159	 Normal Contact Force = 	-3.32915
H = 	0.395332	 Volume = 	0.243	 Pressure = 	-2.81204	 Normal Contact Force = 	-3.33035
H = 	0.395313	 Volume = 	0.243	 Pressure = 	-2.81249	 Normal Contact Force = 	-3.33156
H = 	0.395293	 Volume = 	0.243	 Pressure = 	-2.81294	 Normal Contact Force = 	-3.33276
H = 	0.395273	 Volume = 	0.243	 Pressure = 	-2.81339	 Normal Contact Force = 	-3.33397
H = 	0.395254	 Volume = 	0.243	 Pressure = 	-2.81384	 Normal Contact Force = 	-3.33517
H = 	0.395234	 Volume = 	0.243	 Pressure = 	-2.81429	 Normal Contact Force = 	-3.33638
H = 	0.395215	 Volume = 	0.243	 Pressure = 	-2.81474	 Normal Contact Force = 	-3.33758
H = 	0.395195	 Volume = 	0.243	 Pressure = 	-2.81519	 Normal Contact Force = 	-3.33879
H = 	0.395176	 Volume = 	0.243	 Pressure = 	-2.81564	 Normal Contact Force = 	-3.34
H = 	0.395156	 Volume = 	0.243	 Pressure = 	-2.81609	 Normal Contact Force = 	-3.3412
H = 	0.395137	 Volume = 	0.243	 Pressure = 	-2.81654	 Normal Contact Force = 	-3.34241
H = 	0.395117	 Volume = 	0.243	 Pressure = 	-2.81699	 Normal Contact Force = 	-3.34362
H = 	0.395098	 Volume = 	0.243	 Pressure = 	-2.81744	 Normal Contact Force = 	-3.34483
H = 	0.395078	 Volume = 	0.243	 Pressure = 	-2.81789	 Normal Contact Force = 	-3.34604
H = 	0.395059	 Volume = 	0.243	 Pressure = 	-2.81834	 Normal Contact Force = 	-3.34725
H = 	0.395039	 Volume = 	0.243	 Pressure = 	-2.8188	 Normal Contact Force = 	-3.34846
H = 	0.39502	 Volume = 	0.243	 Pressure = 	-2.81925	 Normal Contact Force = 	-3.34966
H = 	0.395	 Volume = 	0.243	 Pressure = 	-2.8197	 Normal Contact Force = 	-3.35087
H = 	0.39498	 Volume = 	0.243	 Pressure = 	-2.82015	 Normal Contact Force = 	-3.35209
H = 	0.394961	 Volume = 	0.243	 Pressure = 	-2.8206	 Normal Contact Force = 	-3.3533
H = 	0.394941	 Volume = 	0.243	 Pressure = 	-2.82105	 Normal Contact Force = 	-3.35451
H = 	0.394922	 Volume = 	0.243	 Pressure = 	-2.8215	 Normal Contact Force = 	-3.35572
H = 	0.394902	 Volume = 	0.243	 Pressure = 	-2.82195	 Normal Contact Force = 	-3.35693
H = 	0.394883	 Volume = 	0.243	 Pressure = 	-2.8224	 Normal Contact Force = 	-3.35814
