H = 	0.97890625000000941	 Volume = 	0.32343299999999009	 Pressure = 	-0.00014095045294788	 Radial Contact Force = 	-0.00001664593400094
H = 	0.97888671875000943	 Volume = 	0.32343299999999403	 Pressure = 	-0.00014120898068653	 Radial Contact Force = 	-0.00001666932799633
H = 	0.97886718750000945	 Volume = 	0.32343299999999031	 Pressure = 	-0.00014146750361591	 Radial Contact Force = 	-0.00001669261170617
H = 	0.97884765625000947	 Volume = 	0.32343299999999070	 Pressure = 	-0.00014172625665735	 Radial Contact Force = 	-0.00001671588712165
H = 	0.97882812500000949	 Volume = 	0.32343299999999547	 Pressure = 	-0.00014198518982813	 Radial Contact Force = 	-0.00001673912771659
H = 	0.97880859375000950	 Volume = 	0.32343299999999625	 Pressure = 	-0.00014224419608813	 Radial Contact Force = 	-0.00001676229165192
H = 	0.97878906250000952	 Volume = 	0.32343299999999564	 Pressure = 	-0.00014250334924011	 Radial Contact Force = 	-0.00001678540338755
H = 	0.97876953125000954	 Volume = 	0.32343299999999586	 Pressure = 	-0.00014276351957181	 Radial Contact Force = 	-0.00001680894902062
H = 	0.97875000000000956	 Volume = 	0.32343299999999114	 Pressure = 	-0.00014302431872987	 Radial Contact Force = 	-0.00001683268007525
H = 	0.97873046875000957	 Volume = 	0.32343299999999442	 Pressure = 	-0.00014328525252071	 Radial Contact Force = 	-0.00001685637539630
H = 	0.97871093750000959	 Volume = 	0.32343299999999253	 Pressure = 	-0.00014354631489450	 Radial Contact Force = 	-0.00001687999905127
H = 	0.97869140625000961	 Volume = 	0.32343299999999586	 Pressure = 	-0.00014380744670344	 Radial Contact Force = 	-0.00001690356491813
H = 	0.97867187500000963	 Volume = 	0.32343299999999303	 Pressure = 	-0.00014406881943430	 Radial Contact Force = 	-0.00001692709314753
H = 	0.97865234375000965	 Volume = 	0.32343299999999520	 Pressure = 	-0.00014433028058232	 Radial Contact Force = 	-0.00001695056546616
H = 	0.97863281250000966	 Volume = 	0.32343299999999425	 Pressure = 	-0.00014459187396573	 Radial Contact Force = 	-0.00001697398411942
H = 	0.97861328125000968	 Volume = 	0.32343299999999503	 Pressure = 	-0.00014485358394661	 Radial Contact Force = 	-0.00001699734064570
H = 	0.97859375000000970	 Volume = 	0.32343299999999497	 Pressure = 	-0.00014511544685253	 Radial Contact Force = 	-0.00001702065446743
H = 	0.97857421875000972	 Volume = 	0.32343299999999314	 Pressure = 	-0.00014537743022884	 Radial Contact Force = 	-0.00001704390810528
H = 	0.97855468750000973	 Volume = 	0.32343299999999381	 Pressure = 	-0.00014563955706200	 Radial Contact Force = 	-0.00001706711382715
H = 	0.97853515625000975	 Volume = 	0.32343299999999958	 Pressure = 	-0.00014590232879361	 Radial Contact Force = 	-0.00001709054068823
H = 	0.97851562500000977	 Volume = 	0.32343299999999725	 Pressure = 	-0.00014616753268940	 Radial Contact Force = 	-0.00001711514755120
H = 	0.97849609375000979	 Volume = 	0.32343299999999708	 Pressure = 	-0.00014643286758109	 Radial Contact Force = 	-0.00001713969915256
H = 	0.97847656250000981	 Volume = 	0.32343299999998948	 Pressure = 	-0.00014669829103056	 Radial Contact Force = 	-0.00001716417193984
H = 	0.97845703125000982	 Volume = 	0.32343299999999420	 Pressure = 	-0.00014696389494880	 Radial Contact Force = 	-0.00001718862505650
